asset_type,SYMBOL,SECURITY_NAME,SEDOL,ISIN,reference_price_date,reference_price,fund_price,price_difference
Bond,DE0001030567,DEUTSCHLAND I/L BOND 0.1 % 4/15/2026 REGS,,DE0001030567,2023-08-31,121.48,121.24,-0.24
Bond,IT0004735152,BUONI POLIENNALI DEL TES 3.1% 09/15/2026 144A,,IT0004735152,2023-08-31,140.55,140.32,-0.23
Bond,FR0000188799,FRANCE (GOVT OF) 3.15 % 07/25/2032 REGS ,,FR0000188799,2023-08-31,209.31,209.2,-0.11
Bond,DK0009923807,KINGDOM OF DENMARK 0.5 % 11/15/2029 144A ,,DK0009923807,2023-08-31,104.61,104.65,0.04
Bond,US912810FS25,TSY INFL IX N/B 2% 01/15/2026,,US912810FS25,2023-08-31,161.6,161.05,-0.55
Bond,US912810FQ68,TSY INFL IX N/B 3.375% 04/15/2032,,US912810FQ68,2023-08-31,231.8,231.72,-0.08
Bond,GB00B3MYD345,UNITED KINGDOM I/L GILT 0.625% 11/22/2042 REGS,,GB00B3MYD345,2023-08-31,272.85,272.39,-0.46
Bond,MX0MG00000H9,MEX BONOS DESARR FIX RT 8.5 % 05/31/2029 ,,MX0MG00000H9,2023-08-31,105.84,105.85,0.01
Bond,IT0003745541,BUONI POLIENNALI DEL TES 2.4% 09/15/2035 144A,,IT0003745541,2023-08-31,179.33,179.22,-0.11
Bond,JP1103571L10,JAPAN (10 YEAR ISSUE) 0.1 % 12/20/2029 ,,JP1103571L10,2023-08-31,101.05,101.0,-0.05
Bond,GB00BL68HJ26,UNITED KINGDOM GILT 0.125% 01/30/2026 REGS,,GB00BL68HJ26,2023-08-31,97.58,97.13,-0.45
Bond,CA135087YK42,CANADIAN GOVERNMENT RRB 2.0% 12/01/2041,,CA135087YK42,2023-08-31,186.62,186.61,-0.01
Bond,ES00000128E2,BONOS Y OBLIG DEL ESTADO 3.5% 07/30/2066 144A,,ES00000128E2,2023-08-31,150.39,150.43,0.04
Bond,CND100045210,CHINA GOVERNMENT BOND 3.0% 03/11/2026,,CND100045210,2023-08-31,101.82,101.84,0.02
Bond,CA135087VS05,CANADIAN GOVERNMENT RRB 4.3% 12/01/2026,,CA135087VS05,2023-08-31,206.66,206.62,-0.04
Bond,DE0001030559,DEUTSCHLAND I/L BOND 0.5 % 4/15/2030 REGS,,DE0001030559,2023-08-31,135.99,135.89,-0.1
Bond,BE0000304130,BELGIUM KINGDOM 5% 3/28/2035 144A,,BE0000304130,2023-08-31,160.34,160.29,-0.05
Bond,US912810SM18,TSY INFL IX N/B 0.25% 02/15/2050 ,,US912810SM18,2023-08-31,130.0,130.2,0.2
Bond,CA135087WV25,CANADIAN GOVERNMENT RRB 4.0% 12/01/2031,,CA135087WV25,2023-08-31,230.45,230.09,-0.36
Bond,ES0000012B39,BONOS Y OBLIG DEL ESTADO 1.4% 04/30/2028 144A,,ES0000012B39,2023-08-31,108.14,108.14,0.0
Bond,NL0012818504,NETHERLANDS GOVERNMENT 0.75 % 07/15/2028 144A ,BFM0LR6,NL0012818504,2023-08-31,106.86,106.85,-0.01
Bond,ES0000012852,SPAIN I/L BOND 0.65 % 11/30/2027 144A ,BF0YM66,ES0000012852,2023-08-31,124.53,124.62,0.09
Bond,US912828WU04,TSY INFL IX N/B 0.125% 07/15/2024 ,BZ56VY8,US912828WU04,2023-08-31,124.48,124.36,-0.12
Bond,CA135087G997,CANADIAN GOVERNMENT RRB 0.5% 12/01/2050,BG7PCR0,CA135087G997,2023-08-31,131.54,131.53,-0.01
